market_hash_name,weapon,pattern,rarity,exterior,base_name
★ Moto Gloves | Blood Pressure (Factory New),Moto Gloves,Blood Pressure,Extraordinary,Factory New,★ Moto Gloves | Blood Pressure
★ Moto Gloves | Blood Pressure (Minimal Wear),Moto Gloves,Blood Pressure,Extraordinary,Minimal Wear,★ Moto Gloves | Blood Pressure
★ Moto Gloves | Blood Pressure (Field-Tested),Moto Gloves,Blood Pressure,Extraordinary,Field-Tested,★ Moto Gloves | Blood Pressure
★ Moto Gloves | Blood Pressure (Well-Worn),Moto Gloves,Blood Pressure,Extraordinary,Well-Worn,★ Moto Gloves | Blood Pressure
★ Moto Gloves | Blood Pressure (Battle-Scarred),Moto Gloves,Blood Pressure,Extraordinary,Battle-Scarred,★ Moto Gloves | Blood Pressure
★ Moto Gloves | Finish Line (Factory New),Moto Gloves,Finish Line,Extraordinary,Factory New,★ Moto Gloves | Finish Line
★ Moto Gloves | Finish Line (Minimal Wear),Moto Gloves,Finish Line,Extraordinary,Minimal Wear,★ Moto Gloves | Finish Line
★ Moto Gloves | Finish Line (Field-Tested),Moto Gloves,Finish Line,Extraordinary,Field-Tested,★ Moto Gloves | Finish Line
★ Moto Gloves | Finish Line (Well-Worn),Moto Gloves,Finish Line,Extraordinary,Well-Worn,★ Moto Gloves | Finish Line
★ Moto Gloves | Finish Line (Battle-Scarred),Moto Gloves,Finish Line,Extraordinary,Battle-Scarred,★ Moto Gloves | Finish Line
★ Moto Gloves | POW! (Factory New),Moto Gloves,POW!,Extraordinary,Factory New,★ Moto Gloves | POW!
★ Moto Gloves | POW! (Minimal Wear),Moto Gloves,POW!,Extraordinary,Minimal Wear,★ Moto Gloves | POW!
★ Moto Gloves | POW! (Field-Tested),Moto Gloves,POW!,Extraordinary,Field-Tested,★ Moto Gloves | POW!
★ Moto Gloves | POW! (Well-Worn),Moto Gloves,POW!,Extraordinary,Well-Worn,★ Moto Gloves | POW!
★ Moto Gloves | POW! (Battle-Scarred),Moto Gloves,POW!,Extraordinary,Battle-Scarred,★ Moto Gloves | POW!
★ Moto Gloves | 3rd Commando Company (Factory New),Moto Gloves,3rd Commando Company,Extraordinary,Factory New,★ Moto Gloves | 3rd Commando Company
★ Moto Gloves | 3rd Commando Company (Minimal Wear),Moto Gloves,3rd Commando Company,Extraordinary,Minimal Wear,★ Moto Gloves | 3rd Commando Company
★ Moto Gloves | 3rd Commando Company (Field-Tested),Moto Gloves,3rd Commando Company,Extraordinary,Field-Tested,★ Moto Gloves | 3rd Commando Company
★ Moto Gloves | 3rd Commando Company (Well-Worn),Moto Gloves,3rd Commando Company,Extraordinary,Well-Worn,★ Moto Gloves | 3rd Commando Company
